commodity,variety,grade,min_price,modal_price,max_price,date,state,district,market,buffer_stock_qty_kg
Wheat,Sharbati,FAQ,30.5,33.25,36.1,2025-03-15,Delhi,Delhi,Azadpur APMC,4744
Tur Dal,Unpolished,FAQ,95.59,104.59,112.25,2025-11-17,Karnataka,Bengaluru,Yeshwantpur APMC,5877
Groundnut Oil,Filtered,FAQ,166.85,179.54,190.07,2025-07-21,Delhi,Delhi,Azadpur APMC,4555
Gram Dal,Desi,FAQ,65.21,72.08,79.14,2025-09-08,Uttar Pradesh,Lucknow,Dubagga Mandi,5580
Tur Dal,Unpolished,FAQ,102.34,109.43,116.8,2025-10-03,Uttar Pradesh,Lucknow,Dubagga Mandi,4563
Ginger,Local,FAQ,73.42,80.79,87.55,2024-10-26,Maharashtra,Mumbai,Vashi APMC,6167
Atta,Whole Wheat,FAQ,29.17,31.59,33.29,2024-12-07,Uttar Pradesh,Lucknow,Dubagga Mandi,4889
Sunflower Oil,Refined,FAQ,110.27,116.92,125.54,2024-10-30,Delhi,Delhi,Azadpur APMC,6054
Garlic,Desi,FAQ,112.38,120.8,130.63,2024-12-10,Karnataka,Bengaluru,Yeshwantpur APMC,4425
Mustard Oil,Kachi Ghani,FAQ,140.94,153.78,164.92,2025-02-27,Delhi,Delhi,Azadpur APMC,3799
Tur Dal,Unpolished,FAQ,93.52,103.18,113.33,2025-09-25,Karnataka,Bengaluru,Yeshwantpur APMC,5234
Wheat,Sharbati,FAQ,24.95,27.59,30.04,2025-10-15,Karnataka,Bengaluru,Yeshwantpur APMC,5041
Wheat,Sharbati,FAQ,28.6,30.39,31.95,2025-07-04,Maharashtra,Mumbai,Vashi APMC,5173
Mustard Oil,Kachi Ghani,FAQ,125.55,138.91,152.37,2025-01-05,Delhi,Delhi,Azadpur APMC,4986
Wheat,Sharbati,FAQ,28.23,30.93,32.66,2025-06-10,Delhi,Delhi,Azadpur APMC,4798
Moong Dal,Split,FAQ,84.62,90.8,98.35,2025-07-27,Maharashtra,Mumbai,Vashi APMC,5377
Potato,Desi/Local,FAQ,30.21,32.62,34.8,2025-03-26,Delhi,Delhi,Azadpur APMC,3961
Onion,Red/Nashik,FAQ,24.79,27.2,29.74,2025-09-09,Delhi,Delhi,Azadpur APMC,5440
Sunflower Oil,Refined,FAQ,113.1,122.33,133.23,2024-12-30,Karnataka,Bengaluru,Yeshwantpur APMC,6018
Potato,Desi/Local,FAQ,25.66,27.92,30.53,2025-06-25,Karnataka,Bengaluru,Yeshwantpur APMC,4710
Garlic,Desi,FAQ,112.32,120.39,129.43,2025-11-06,Uttar Pradesh,Lucknow,Dubagga Mandi,5394
Atta,Whole Wheat,FAQ,28.09,30.45,32.12,2025-08-19,Delhi,Delhi,Azadpur APMC,5027
Soya Oil,Refined,FAQ,102.15,111.63,121.64,2025-09-09,Delhi,Delhi,Azadpur APMC,6215
Sugar,M-30,FAQ,41.99,44.89,48.63,2025-01-12,Maharashtra,Mumbai,Vashi APMC,4851
Urad Dal,Black,FAQ,112.24,120.05,126.83,2025-04-16,Maharashtra,Mumbai,Vashi APMC,3039
Onion,Red/Nashik,FAQ,28.62,30.96,34.01,2025-11-20,Maharashtra,Mumbai,Vashi APMC,5550
Moong Dal,Split,FAQ,91.14,98.31,104.17,2025-08-29,Maharashtra,Mumbai,Vashi APMC,4972
Atta,Whole Wheat,FAQ,36.72,39.77,43.0,2025-02-08,Maharashtra,Mumbai,Vashi APMC,4512
Green Chilli,Teja,FAQ,52.54,55.57,61.12,2025-06-24,Uttar Pradesh,Lucknow,Dubagga Mandi,5304
Green Chilli,Teja,FAQ,50.34,55.19,58.46,2024-11-05,Karnataka,Bengaluru,Yeshwantpur APMC,5625
Potato,Desi/Local,FAQ,23.43,25.84,28.39,2025-07-17,Maharashtra,Mumbai,Vashi APMC,5257
Sugar,M-30,FAQ,37.62,41.24,43.86,2025-10-31,Karnataka,Bengaluru,Yeshwantpur APMC,4910
Atta,Whole Wheat,FAQ,29.66,31.98,33.78,2025-10-15,Uttar Pradesh,Lucknow,Dubagga Mandi,4925
Potato,Desi/Local,FAQ,28.43,30.52,32.86,2025-05-22,Karnataka,Bengaluru,Yeshwantpur APMC,4299
Garlic,Desi,FAQ,119.57,132.4,143.64,2025-05-20,Karnataka,Bengaluru,Yeshwantpur APMC,3493
Mustard Oil,Kachi Ghani,FAQ,127.7,140.05,148.76,2025-06-15,Delhi,Delhi,Azadpur APMC,5450
Milk,Toned,FAQ,50.62,54.49,58.71,2024-11-23,Delhi,Delhi,Azadpur APMC,4674
Garlic,Desi,FAQ,109.91,116.62,128.09,2025-10-20,Delhi,Delhi,Azadpur APMC,5434
Palm Oil,Imported,FAQ,94.86,103.14,112.87,2025-01-18,Delhi,Delhi,Azadpur APMC,4306
Milk,Toned,FAQ,47.6,50.54,55.24,2025-09-11,Delhi,Delhi,Azadpur APMC,5524
Rice,Basmati/Common,FAQ,44.72,49.36,52.67,2025-01-27,Maharashtra,Mumbai,Vashi APMC,4279
Green Chilli,Teja,FAQ,56.75,62.4,67.39,2025-04-28,Delhi,Delhi,Azadpur APMC,4404
Milk,Toned,FAQ,47.07,52.18,56.64,2024-12-10,Delhi,Delhi,Azadpur APMC,4801
Green Chilli,Teja,FAQ,53.39,56.4,60.3,2024-11-15,Uttar Pradesh,Lucknow,Dubagga Mandi,5481
Wheat,Sharbati,FAQ,29.19,30.9,32.52,2024-12-17,Maharashtra,Mumbai,Vashi APMC,4478
Rice,Basmati/Common,FAQ,43.63,46.51,50.13,2025-06-20,Delhi,Delhi,Azadpur APMC,4858
Salt,Iodized,FAQ,18.85,20.7,22.45,2025-02-17,Maharashtra,Mumbai,Vashi APMC,4445
Gram Dal,Desi,FAQ,71.19,77.18,84.42,2025-06-10,Delhi,Delhi,Azadpur APMC,4790
Sugar,M-30,FAQ,45.54,48.45,52.93,2025-02-13,Delhi,Delhi,Azadpur APMC,4436
Sunflower Oil,Refined,FAQ,140.48,149.36,158.39,2025-03-12,Karnataka,Bengaluru,Yeshwantpur APMC,3086
Sugar,M-30,FAQ,38.15,40.76,44.81,2025-09-18,Delhi,Delhi,Azadpur APMC,4836
Potato,Desi/Local,FAQ,16.76,18.5,20.06,2025-08-21,Maharashtra,Mumbai,Vashi APMC,5750
Groundnut Oil,Filtered,FAQ,170.26,184.07,194.39,2025-10-25,Delhi,Delhi,Azadpur APMC,4780
Wheat,Sharbati,FAQ,25.14,26.9,28.33,2025-08-26,Delhi,Delhi,Azadpur APMC,5379
Onion,Red/Nashik,FAQ,30.22,32.3,34.75,2025-07-24,Delhi,Delhi,Azadpur APMC,4911
Milk,Toned,FAQ,57.56,61.47,65.21,2025-03-13,Uttar Pradesh,Lucknow,Dubagga Mandi,4429
Rice,Basmati/Common,FAQ,35.0,38.83,41.2,2024-10-28,Delhi,Delhi,Azadpur APMC,5687
Atta,Whole Wheat,FAQ,28.64,31.53,33.18,2024-10-25,Uttar Pradesh,Lucknow,Dubagga Mandi,5443
Palm Oil,Imported,FAQ,86.93,95.49,100.72,2025-07-15,Delhi,Delhi,Azadpur APMC,5445
Tur Dal,Unpolished,FAQ,116.8,126.92,133.67,2025-03-17,Karnataka,Bengaluru,Yeshwantpur APMC,3126
Rice,Basmati/Common,FAQ,42.01,46.04,49.1,2025-11-10,Delhi,Delhi,Azadpur APMC,4918
Tur Dal,Unpolished,FAQ,118.39,130.0,136.6,2025-03-08,Delhi,Delhi,Azadpur APMC,3195
Wheat,Sharbati,FAQ,30.65,34.03,36.48,2025-04-09,Delhi,Delhi,Azadpur APMC,4663
Mustard Oil,Kachi Ghani,FAQ,114.44,124.02,134.36,2025-08-16,Delhi,Delhi,Azadpur APMC,6950
Gram Dal,Desi,FAQ,70.47,77.75,83.7,2024-12-25,Karnataka,Bengaluru,Yeshwantpur APMC,4657
Potato,Desi/Local,FAQ,28.46,30.54,32.59,2025-05-07,Delhi,Delhi,Azadpur APMC,4152
Atta,Whole Wheat,FAQ,33.44,36.64,39.61,2025-06-12,Delhi,Delhi,Azadpur APMC,5065
Ginger,Local,FAQ,69.32,75.09,80.92,2025-09-10,Delhi,Delhi,Azadpur APMC,6117
Tur Dal,Unpolished,FAQ,100.29,106.65,116.98,2025-08-16,Maharashtra,Mumbai,Vashi APMC,5586
Potato,Desi/Local,FAQ,18.6,19.66,21.0,2025-11-10,Uttar Pradesh,Lucknow,Dubagga Mandi,5401
Garlic,Desi,FAQ,107.64,116.02,122.07,2025-08-21,Maharashtra,Mumbai,Vashi APMC,5554
Ginger,Local,FAQ,92.49,98.12,106.51,2025-04-24,Maharashtra,Mumbai,Vashi APMC,4351
Mustard Oil,Kachi Ghani,FAQ,121.82,133.35,142.29,2024-12-01,Delhi,Delhi,Azadpur APMC,5534
Atta,Whole Wheat,FAQ,33.94,36.88,39.03,2025-01-09,Karnataka,Bengaluru,Yeshwantpur APMC,4770
Potato,Desi/Local,FAQ,24.66,27.22,29.57,2025-01-29,Karnataka,Bengaluru,Yeshwantpur APMC,4598
Gram Dal,Desi,FAQ,72.66,79.71,86.39,2025-02-25,Karnataka,Bengaluru,Yeshwantpur APMC,4485
Wheat,Sharbati,FAQ,25.85,28.52,30.06,2025-10-12,Maharashtra,Mumbai,Vashi APMC,5576
Milk,Toned,FAQ,63.13,67.04,70.74,2025-05-06,Uttar Pradesh,Lucknow,Dubagga Mandi,4222
Atta,Whole Wheat,FAQ,32.5,35.19,38.25,2024-11-30,Delhi,Delhi,Azadpur APMC,5050
Soya Oil,Refined,FAQ,105.04,114.68,124.17,2024-12-02,Karnataka,Bengaluru,Yeshwantpur APMC,5681
Garlic,Desi,FAQ,102.55,113.62,119.84,2025-10-13,Maharashtra,Mumbai,Vashi APMC,5281
Milk,Toned,FAQ,51.72,55.58,58.36,2025-01-23,Maharashtra,Mumbai,Vashi APMC,4756
Milk,Toned,FAQ,53.32,57.22,60.88,2025-01-07,Karnataka,Bengaluru,Yeshwantpur APMC,5182
Onion,Red/Nashik,FAQ,24.53,26.12,27.78,2025-09-09,Maharashtra,Mumbai,Vashi APMC,5399
Potato,Desi/Local,FAQ,31.53,33.24,35.9,2025-04-15,Delhi,Delhi,Azadpur APMC,3798
Rice,Basmati/Common,FAQ,43.87,47.66,50.06,2025-02-15,Delhi,Delhi,Azadpur APMC,5209
Milk,Toned,FAQ,56.64,62.23,68.18,2024-12-10,Karnataka,Bengaluru,Yeshwantpur APMC,3863
Groundnut Oil,Filtered,FAQ,153.41,167.9,183.05,2024-11-28,Uttar Pradesh,Lucknow,Dubagga Mandi,6041
Milk,Toned,FAQ,54.93,60.46,64.29,2025-06-12,Delhi,Delhi,Azadpur APMC,4417
Milk,Toned,FAQ,52.13,57.32,60.73,2025-06-24,Maharashtra,Mumbai,Vashi APMC,5218
Green Chilli,Teja,FAQ,49.66,52.42,57.09,2025-08-13,Delhi,Delhi,Azadpur APMC,6135
Wheat,Sharbati,FAQ,31.03,34.02,36.29,2025-02-17,Uttar Pradesh,Lucknow,Dubagga Mandi,4210
Wheat,Sharbati,FAQ,25.4,27.99,30.31,2024-12-15,Karnataka,Bengaluru,Yeshwantpur APMC,5429
Garlic,Desi,FAQ,124.75,134.25,145.23,2025-05-31,Delhi,Delhi,Azadpur APMC,3615
Rice,Basmati/Common,FAQ,44.74,47.46,50.91,2025-01-20,Delhi,Delhi,Azadpur APMC,4668
Potato,Desi/Local,FAQ,21.66,23.01,24.29,2025-11-22,Maharashtra,Mumbai,Vashi APMC,5555
Sunflower Oil,Refined,FAQ,138.59,153.84,162.37,2025-03-24,Maharashtra,Mumbai,Vashi APMC,2384
Urad Dal,Black,FAQ,102.69,109.54,119.78,2025-06-29,Karnataka,Bengaluru,Yeshwantpur APMC,4806
Onion,Red/Nashik,FAQ,32.69,35.74,38.77,2024-12-25,Karnataka,Bengaluru,Yeshwantpur APMC,5319
Masoor Dal,Red,FAQ,90.21,97.89,105.91,2025-03-30,Maharashtra,Mumbai,Vashi APMC,4036
Sunflower Oil,Refined,FAQ,110.91,121.98,133.55,2025-07-07,Maharashtra,Mumbai,Vashi APMC,5470
Masoor Dal,Red,FAQ,89.16,95.67,104.4,2025-01-23,Maharashtra,Mumbai,Vashi APMC,3936
Moong Dal,Split,FAQ,83.04,91.63,98.61,2025-08-16,Uttar Pradesh,Lucknow,Dubagga Mandi,5063
Garlic,Desi,FAQ,122.13,134.7,144.81,2025-02-12,Maharashtra,Mumbai,Vashi APMC,3100
Salt,Iodized,FAQ,16.54,18.06,19.55,2025-09-21,Maharashtra,Mumbai,Vashi APMC,4724
Moong Dal,Split,FAQ,85.01,89.92,95.49,2024-12-15,Delhi,Delhi,Azadpur APMC,5395
Green Chilli,Teja,FAQ,49.79,55.27,59.64,2025-08-23,Uttar Pradesh,Lucknow,Dubagga Mandi,5358
Moong Dal,Split,FAQ,101.95,113.16,118.91,2025-05-02,Uttar Pradesh,Lucknow,Dubagga Mandi,2712
Rice,Basmati/Common,FAQ,43.45,46.14,49.18,2025-08-24,Delhi,Delhi,Azadpur APMC,5038
Onion,Red/Nashik,FAQ,34.89,38.29,41.08,2025-02-16,Karnataka,Bengaluru,Yeshwantpur APMC,4958
Sunflower Oil,Refined,FAQ,120.06,126.86,133.32,2024-12-09,Delhi,Delhi,Azadpur APMC,5176
Atta,Whole Wheat,FAQ,36.06,38.11,40.65,2025-03-25,Delhi,Delhi,Azadpur APMC,4822
Atta,Whole Wheat,FAQ,37.74,39.78,43.5,2025-03-04,Uttar Pradesh,Lucknow,Dubagga Mandi,4363
Salt,Iodized,FAQ,21.41,22.54,24.24,2024-12-31,Delhi,Delhi,Azadpur APMC,5181
Garlic,Desi,FAQ,104.33,113.43,122.78,2024-11-23,Karnataka,Bengaluru,Yeshwantpur APMC,5172
Onion,Red/Nashik,FAQ,42.63,47.03,50.53,2025-04-05,Maharashtra,Mumbai,Vashi APMC,3692
Milk,Toned,FAQ,50.72,54.1,58.76,2025-09-23,Delhi,Delhi,Azadpur APMC,4755
Gram Dal,Desi,FAQ,70.09,74.44,80.79,2025-08-03,Uttar Pradesh,Lucknow,Dubagga Mandi,4908
Groundnut Oil,Filtered,FAQ,162.32,174.64,188.96,2025-11-16,Karnataka,Bengaluru,Yeshwantpur APMC,5923
Atta,Whole Wheat,FAQ,35.91,38.22,41.72,2025-02-21,Delhi,Delhi,Azadpur APMC,4791
Gram Dal,Desi,FAQ,74.31,81.39,87.88,2025-05-26,Karnataka,Bengaluru,Yeshwantpur APMC,4178
Green Chilli,Teja,FAQ,51.47,56.85,60.88,2024-12-18,Delhi,Delhi,Azadpur APMC,5814
Potato,Desi/Local,FAQ,20.01,22.01,23.3,2024-12-04,Maharashtra,Mumbai,Vashi APMC,4820
Rice,Basmati/Common,FAQ,40.22,43.44,46.67,2024-11-22,Maharashtra,Mumbai,Vashi APMC,5116
Garlic,Desi,FAQ,98.54,104.79,113.23,2024-12-13,Delhi,Delhi,Azadpur APMC,6771
Potato,Desi/Local,FAQ,22.18,24.19,25.77,2025-01-08,Karnataka,Bengaluru,Yeshwantpur APMC,5319
Soya Oil,Refined,FAQ,122.62,130.6,137.26,2025-03-25,Delhi,Delhi,Azadpur APMC,4535
Tomato,Hybrid,FAQ,43.63,46.38,49.35,2025-06-09,Karnataka,Bengaluru,Yeshwantpur APMC,4172
Ginger,Local,FAQ,79.74,86.46,93.48,2025-09-27,Delhi,Delhi,Azadpur APMC,4897
Palm Oil,Imported,FAQ,90.38,97.84,103.48,2025-06-13,Karnataka,Bengaluru,Yeshwantpur APMC,4649
Wheat,Sharbati,FAQ,25.9,28.5,30.53,2025-01-18,Uttar Pradesh,Lucknow,Dubagga Mandi,5217
Rice,Basmati/Common,FAQ,41.92,44.78,47.85,2024-12-12,Karnataka,Bengaluru,Yeshwantpur APMC,4692
Atta,Whole Wheat,FAQ,34.26,36.9,39.38,2025-03-23,Karnataka,Bengaluru,Yeshwantpur APMC,5257
Garlic,Desi,FAQ,103.78,112.59,120.81,2024-12-07,Karnataka,Bengaluru,Yeshwantpur APMC,5623
Soya Oil,Refined,FAQ,121.94,132.86,141.69,2025-02-24,Karnataka,Bengaluru,Yeshwantpur APMC,3982
Ginger,Local,FAQ,87.16,92.85,97.62,2025-09-08,Delhi,Delhi,Azadpur APMC,4773
Tomato,Hybrid,FAQ,34.49,36.66,40.27,2025-08-16,Uttar Pradesh,Lucknow,Dubagga Mandi,5393
Moong Dal,Split,FAQ,92.78,99.82,106.14,2025-07-19,Uttar Pradesh,Lucknow,Dubagga Mandi,4649
Moong Dal,Split,FAQ,80.38,86.02,94.36,2025-11-05,Delhi,Delhi,Azadpur APMC,5439
Sugar,M-30,FAQ,44.13,47.55,50.06,2025-04-24,Uttar Pradesh,Lucknow,Dubagga Mandi,4623
Rice,Basmati/Common,FAQ,37.57,40.76,44.05,2025-10-16,Maharashtra,Mumbai,Vashi APMC,5729
Wheat,Sharbati,FAQ,28.64,30.75,32.55,2025-06-20,Delhi,Delhi,Azadpur APMC,4454
Green Chilli,Teja,FAQ,57.05,61.69,67.46,2025-09-07,Maharashtra,Mumbai,Vashi APMC,4379
Garlic,Desi,FAQ,116.1,123.11,134.3,2025-07-09,Delhi,Delhi,Azadpur APMC,4934
Atta,Whole Wheat,FAQ,28.84,31.48,33.6,2024-10-24,Maharashtra,Mumbai,Vashi APMC,5331
Atta,Whole Wheat,FAQ,32.75,34.87,36.75,2025-10-10,Karnataka,Bengaluru,Yeshwantpur APMC,4851
Sunflower Oil,Refined,FAQ,120.19,129.45,141.67,2025-07-09,Karnataka,Bengaluru,Yeshwantpur APMC,4878
Ginger,Local,FAQ,103.59,110.82,119.52,2025-04-28,Maharashtra,Mumbai,Vashi APMC,2855
Mustard Oil,Kachi Ghani,FAQ,118.05,128.24,136.66,2025-10-25,Uttar Pradesh,Lucknow,Dubagga Mandi,6525
Garlic,Desi,FAQ,102.12,109.79,119.04,2025-09-07,Uttar Pradesh,Lucknow,Dubagga Mandi,6260
Gram Dal,Desi,FAQ,69.93,74.42,79.37,2025-01-11,Karnataka,Bengaluru,Yeshwantpur APMC,4591
Palm Oil,Imported,FAQ,103.65,111.39,120.87,2025-04-28,Uttar Pradesh,Lucknow,Dubagga Mandi,3607
Mustard Oil,Kachi Ghani,FAQ,160.29,170.38,185.59,2025-04-26,Uttar Pradesh,Lucknow,Dubagga Mandi,1828
Soya Oil,Refined,FAQ,121.3,132.96,144.45,2025-03-02,Maharashtra,Mumbai,Vashi APMC,4522
Mustard Oil,Kachi Ghani,FAQ,131.14,144.44,158.52,2025-01-08,Delhi,Delhi,Azadpur APMC,4580
Wheat,Sharbati,FAQ,29.33,31.15,33.94,2025-01-13,Maharashtra,Mumbai,Vashi APMC,5049
Green Chilli,Teja,FAQ,56.15,60.38,64.11,2025-10-06,Maharashtra,Mumbai,Vashi APMC,4638
Palm Oil,Imported,FAQ,88.48,96.73,105.13,2025-09-23,Delhi,Delhi,Azadpur APMC,4565
Potato,Desi/Local,FAQ,30.74,32.97,35.85,2025-04-05,Uttar Pradesh,Lucknow,Dubagga Mandi,4124
Urad Dal,Black,FAQ,104.54,114.18,120.57,2025-02-16,Karnataka,Bengaluru,Yeshwantpur APMC,3985
Rice,Basmati/Common,FAQ,39.77,42.68,46.06,2024-12-24,Uttar Pradesh,Lucknow,Dubagga Mandi,5382
Salt,Iodized,FAQ,20.04,21.19,23.26,2025-06-19,Maharashtra,Mumbai,Vashi APMC,4534
Potato,Desi/Local,FAQ,18.3,19.41,20.85,2025-10-28,Uttar Pradesh,Lucknow,Dubagga Mandi,5829
Potato,Desi/Local,FAQ,16.24,17.68,18.62,2025-09-08,Delhi,Delhi,Azadpur APMC,5596
Milk,Toned,FAQ,53.25,59.15,62.95,2025-03-07,Karnataka,Bengaluru,Yeshwantpur APMC,4184
Moong Dal,Split,FAQ,92.53,102.78,108.39,2025-05-31,Karnataka,Bengaluru,Yeshwantpur APMC,4609
Ginger,Local,FAQ,79.01,84.95,91.84,2025-09-03,Karnataka,Bengaluru,Yeshwantpur APMC,5343
Gram Dal,Desi,FAQ,70.91,75.09,81.58,2025-02-24,Karnataka,Bengaluru,Yeshwantpur APMC,4637
Tomato,Hybrid,FAQ,37.92,40.04,43.65,2025-07-13,Karnataka,Bengaluru,Yeshwantpur APMC,4547
Wheat,Sharbati,FAQ,29.01,30.77,33.72,2025-11-23,Delhi,Delhi,Azadpur APMC,4775
Ginger,Local,FAQ,77.01,84.41,90.9,2025-10-12,Uttar Pradesh,Lucknow,Dubagga Mandi,5641
Wheat,Sharbati,FAQ,30.81,32.97,35.02,2025-05-19,Karnataka,Bengaluru,Yeshwantpur APMC,4256
Mustard Oil,Kachi Ghani,FAQ,130.99,144.94,158.25,2024-11-18,Maharashtra,Mumbai,Vashi APMC,4875
Palm Oil,Imported,FAQ,84.69,92.76,100.15,2025-09-27,Karnataka,Bengaluru,Yeshwantpur APMC,4763
Gram Dal,Desi,FAQ,61.7,66.44,72.36,2025-09-17,Maharashtra,Mumbai,Vashi APMC,5914
Groundnut Oil,Filtered,FAQ,171.06,183.1,197.74,2025-07-19,Karnataka,Bengaluru,Yeshwantpur APMC,4778
Onion,Red/Nashik,FAQ,39.1,42.66,45.75,2025-03-09,Karnataka,Bengaluru,Yeshwantpur APMC,4675
Mustard Oil,Kachi Ghani,FAQ,111.94,120.55,131.27,2025-09-12,Karnataka,Bengaluru,Yeshwantpur APMC,7176
Green Chilli,Teja,FAQ,61.72,65.87,71.18,2024-11-27,Uttar Pradesh,Lucknow,Dubagga Mandi,4306
Wheat,Sharbati,FAQ,24.23,25.67,27.47,2024-10-24,Delhi,Delhi,Azadpur APMC,5662
Ginger,Local,FAQ,69.87,76.35,80.77,2024-10-25,Maharashtra,Mumbai,Vashi APMC,6296
Tomato,Hybrid,FAQ,29.99,33.31,35.38,2025-08-23,Karnataka,Bengaluru,Yeshwantpur APMC,5424
Onion,Red/Nashik,FAQ,31.66,34.36,36.55,2025-07-26,Karnataka,Bengaluru,Yeshwantpur APMC,5316
Rice,Basmati/Common,FAQ,38.5,41.78,44.71,2025-10-10,Maharashtra,Mumbai,Vashi APMC,5010
Salt,Iodized,FAQ,16.27,17.72,19.03,2024-11-11,Uttar Pradesh,Lucknow,Dubagga Mandi,5326
Onion,Red/Nashik,FAQ,38.35,41.93,46.11,2025-05-12,Delhi,Delhi,Azadpur APMC,4752
Tur Dal,Unpolished,FAQ,111.99,119.25,125.32,2025-05-15,Delhi,Delhi,Azadpur APMC,4467
Tur Dal,Unpolished,FAQ,96.37,102.92,111.67,2025-10-24,Karnataka,Bengaluru,Yeshwantpur APMC,5394
Moong Dal,Split,FAQ,100.52,110.08,115.63,2025-04-15,Maharashtra,Mumbai,Vashi APMC,3986
Tur Dal,Unpolished,FAQ,104.55,115.01,123.55,2025-01-05,Delhi,Delhi,Azadpur APMC,4659
Salt,Iodized,FAQ,18.07,19.56,21.39,2024-11-08,Delhi,Delhi,Azadpur APMC,4993
Urad Dal,Black,FAQ,91.9,101.86,110.15,2025-10-17,Karnataka,Bengaluru,Yeshwantpur APMC,5764
Sunflower Oil,Refined,FAQ,118.17,130.28,137.38,2024-12-10,Uttar Pradesh,Lucknow,Dubagga Mandi,5428
Tomato,Hybrid,FAQ,32.5,35.62,38.79,2025-11-09,Karnataka,Bengaluru,Yeshwantpur APMC,5914
Gram Dal,Desi,FAQ,73.93,80.85,85.87,2025-03-09,Uttar Pradesh,Lucknow,Dubagga Mandi,4623
Garlic,Desi,FAQ,107.78,118.76,129.38,2025-11-23,Karnataka,Bengaluru,Yeshwantpur APMC,5418
Sunflower Oil,Refined,FAQ,125.7,137.04,149.63,2025-07-15,Karnataka,Bengaluru,Yeshwantpur APMC,4035
Mustard Oil,Kachi Ghani,FAQ,130.56,140.72,150.83,2025-09-11,Karnataka,Bengaluru,Yeshwantpur APMC,5062
Soya Oil,Refined,FAQ,101.72,112.38,122.24,2025-09-20,Karnataka,Bengaluru,Yeshwantpur APMC,5949
Palm Oil,Imported,FAQ,87.29,95.66,101.04,2025-09-12,Maharashtra,Mumbai,Vashi APMC,5335
Garlic,Desi,FAQ,102.38,108.57,118.16,2025-10-30,Maharashtra,Mumbai,Vashi APMC,6258
Tur Dal,Unpolished,FAQ,94.12,101.43,107.25,2024-10-26,Uttar Pradesh,Lucknow,Dubagga Mandi,5502
Urad Dal,Black,FAQ,100.35,110.78,117.09,2024-11-02,Uttar Pradesh,Lucknow,Dubagga Mandi,4529
Tomato,Hybrid,FAQ,48.22,52.27,55.35,2025-02-22,Delhi,Delhi,Azadpur APMC,3980
Salt,Iodized,FAQ,18.39,20.15,21.81,2025-06-13,Uttar Pradesh,Lucknow,Dubagga Mandi,5332
Moong Dal,Split,FAQ,94.73,103.06,110.09,2025-07-01,Delhi,Delhi,Azadpur APMC,4275
Onion,Red/Nashik,FAQ,25.32,27.8,30.28,2025-09-08,Maharashtra,Mumbai,Vashi APMC,5796
Mustard Oil,Kachi Ghani,FAQ,124.58,133.13,143.11,2025-10-06,Maharashtra,Mumbai,Vashi APMC,5731
Atta,Whole Wheat,FAQ,34.52,37.84,41.03,2025-06-05,Karnataka,Bengaluru,Yeshwantpur APMC,4589
Onion,Red/Nashik,FAQ,25.41,27.29,29.14,2024-11-21,Uttar Pradesh,Lucknow,Dubagga Mandi,5850
Rice,Basmati/Common,FAQ,36.53,39.22,42.63,2025-09-29,Maharashtra,Mumbai,Vashi APMC,5654
Potato,Desi/Local,FAQ,19.08,21.15,22.32,2025-11-07,Uttar Pradesh,Lucknow,Dubagga Mandi,5511
Groundnut Oil,Filtered,FAQ,164.61,176.96,190.87,2025-07-16,Maharashtra,Mumbai,Vashi APMC,5305
Masoor Dal,Red,FAQ,76.76,81.42,86.52,2024-11-25,Uttar Pradesh,Lucknow,Dubagga Mandi,5302
Gram Dal,Desi,FAQ,73.72,79.55,83.63,2025-04-16,Delhi,Delhi,Azadpur APMC,4745
Garlic,Desi,FAQ,115.94,126.36,138.06,2025-05-22,Maharashtra,Mumbai,Vashi APMC,4640
Urad Dal,Black,FAQ,96.07,101.93,107.46,2025-06-15,Maharashtra,Mumbai,Vashi APMC,5462
Urad Dal,Black,FAQ,86.91,94.99,104.0,2024-11-04,Maharashtra,Mumbai,Vashi APMC,6434
Rice,Basmati/Common,FAQ,40.73,44.03,46.64,2025-10-11,Maharashtra,Mumbai,Vashi APMC,4931
Sunflower Oil,Refined,FAQ,121.45,132.56,142.88,2025-08-20,Uttar Pradesh,Lucknow,Dubagga Mandi,4998
Potato,Desi/Local,FAQ,25.16,27.71,30.11,2025-06-17,Maharashtra,Mumbai,Vashi APMC,4485
Soya Oil,Refined,FAQ,116.32,123.83,134.25,2025-01-02,Karnataka,Bengaluru,Yeshwantpur APMC,5212
Soya Oil,Refined,FAQ,112.58,120.48,127.72,2025-08-03,Karnataka,Bengaluru,Yeshwantpur APMC,5222
Onion,Red/Nashik,FAQ,24.78,26.33,28.26,2024-10-22,Karnataka,Bengaluru,Yeshwantpur APMC,5611
Palm Oil,Imported,FAQ,86.93,95.1,100.83,2024-12-10,Karnataka,Bengaluru,Yeshwantpur APMC,5406
Tomato,Hybrid,FAQ,24.51,26.98,28.71,2024-10-21,Delhi,Delhi,Azadpur APMC,6504
Milk,Toned,FAQ,54.43,58.64,62.87,2025-01-12,Uttar Pradesh,Lucknow,Dubagga Mandi,4464
Tomato,Hybrid,FAQ,36.48,38.86,41.22,2024-12-19,Karnataka,Bengaluru,Yeshwantpur APMC,5376
Tomato,Hybrid,FAQ,35.58,38.49,41.19,2025-07-29,Karnataka,Bengaluru,Yeshwantpur APMC,4823
Garlic,Desi,FAQ,123.32,133.51,145.34,2025-05-26,Maharashtra,Mumbai,Vashi APMC,3720
